TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
2.03627	0.00737	0.00109	459.144	-89.612	-135.227	-1.179	-0.000	3.141	17547	0.052	53.669	-6.383	-8.208	0.542	0.146	-0.039	1.118	-2.516	0.910	-0.834	-1.145	-0.065	-0.485	1.009	0.354	-1.821	-0.743	0.449	-1.562	
3.02869	0.01487	0.00066	458.284	-86.709	-135.125	-1.178	-0.000	3.141	17826	-0.020	53.691	-6.487	-8.084	0.482	0.127	0.005	1.129	-1.797	1.251	-0.764	-0.917	-0.013	-0.479	1.007	0.355	-1.826	-0.748	0.447	-1.551	
0.15715	0.00035	0.00031	458.439	-86.686	-135.104	-1.178	-0.000	-3.141	18075	0.073	53.708	-6.475	-8.114	0.475	0.121	0.018	1.122	-1.701	1.186	-0.723	-0.889	-0.021	-0.479	1.007	0.355	-1.826	-0.748	0.447	-1.551	
0.01634	0.00762	0.01756	458.454	-86.681	-135.101	-1.160	-0.000	-3.141	18310	0.013	53.611	-6.477	-8.080	0.506	0.113	0.189	0.682	-1.650	1.310	-0.650	-0.577	0.103	-0.479	1.007	0.355	-1.826	-0.748	0.447	-1.559	
0.01209	0.12477	0.15117	458.460	-86.671	-135.100	-1.009	-0.000	-3.141	18590	0.048	53.579	-6.458	-8.066	0.462	0.083	0.149	1.016	-1.406	1.293	-0.471	-0.704	0.109	-0.479	1.007	0.355	-1.826	-0.748	0.447	-1.684	
0.01035	0.19710	0.18196	458.457	-86.661	-135.101	-0.827	-0.000	-3.141	18870	0.009	53.615	-6.461	-8.082	0.498	0.099	0.175	1.182	-1.260	1.276	-0.369	-0.749	0.114	-0.479	1.007	0.355	-1.826	-0.748	0.446	-1.881	
0.00234	0.06296	0.04188	458.457	-86.658	-135.101	-0.785	-0.000	-3.141	19152	0.011	53.591	-6.480	-8.088	0.476	0.103	0.114	1.293	-1.251	1.254	-0.357	-0.811	0.087	-0.479	1.007	0.355	-1.826	-0.748	0.446	-1.944	
0.00084	0.00012	0.00005	458.458	-86.658	-135.101	-0.785	-0.000	-3.141	19418	1.428	53.439	-5.782	-9.337	0.338	0.098	0.177	1.367	-1.225	1.221	-0.346	-0.853	0.073	-0.479	1.007	0.355	-1.826	-0.748	0.446	-1.944	
3.79325	0.01363	0.00020	461.133	-89.347	-135.111	-0.785	-0.000	-3.142	19651	0.897	53.502	-6.481	-8.616	0.219	-0.110	0.166	-1.049	-1.576	1.846	-0.639	0.937	0.170	-0.481	1.009	0.355	-1.819	-0.742	0.450	-1.953	
6.17427	0.03616	0.00013	465.453	-93.758	-135.141	-0.786	-0.000	3.142	19932	0.590	53.878	-6.525	-8.527	0.271	-0.097	0.081	-0.285	-1.542	1.908	-0.569	0.467	0.101	-0.487	1.014	0.355	-1.802	-0.727	0.460	-1.978	
